LST_Celsius,NDBI,NDVI,QA_PIXEL,QA_RADSAT,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_ATRAN,ST_B10,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,Latitude,Longitude
32.26372223000004,-0.18931813031499353,-0.024009239593222934,21952,0,0.0398,0.050167500000000004,0.06951374999999999,0.06538875,0.0623225,0.04248125,0.026132500000000003,160,7186.5,305.41372223,1944.5,1176.0,9880.0,0,203.5,9864.0,2499.5,19.09355661666781,72.98034640750349
37.21985123000002,-0.09251576973347735,0.5547568235426262,21824,0,0.0310825,0.03904375,0.06468750000000001,0.06193749999999998,0.21628125,0.17965124999999998,0.10877,160,7157.0,310.36985123,1404.0,1184.5,9820.0,93,214.5,10357.5,2524.5,19.1986595049098,72.89680308608038
29.845473080000033,0.1029666683175674,-0.421665203161172,21952,0,0.018074999999999994,0.03652749999999999,0.07834125,0.05565375,0.022639999999999993,0.0278375,0.024963749999999993,224,7112.5,302.99547308,229.5,1196.5,9880.0,0,266.0,9589.0,2554.0,18.926200479236346,72.86904514380109
41.88886654999999,0.008134427427186505,0.17680139111315482,21824,0,0.05577749999999998,0.06541624999999998,0.08846124999999999,0.09734375,0.13915750000000002,0.14143999999999998,0.11717125,160,7169.0,315.03886654999997,1713.0,1181.0,9677.0,115,221.0,10794.0,2514.0,19.160391273806304,72.93857474679194
29.373786320000022,0.20663762926542506,-0.34362080781730153,21952,0,0.0014237500000000014,0.018693749999999995,0.0625975,0.03798499999999999,0.018556249999999996,0.028222499999999998,0.0265725,224,7113.5,302.52378632,810.0,1196.0,9880.0,0,214.5,9525.0,2559.5,19.01702015446083,72.7744525443833
31.24686128000002,-0.09264109279515241,-0.2366790137851242,21952,0,0.07171374999999999,0.08004624999999999,0.09888374999999999,0.08617875,0.053192500000000004,0.04417249999999999,0.03783375,112,7137.5,304.39686128,790.0,1190.0,9880.0,0,214.0,9723.5,2534.5,18.919193620020213,72.9345323280134
40.60369103000005,0.004035141167766121,0.4237161597667845,21824,0,0.04556125000000001,0.052614999999999995,0.07325375,0.08105000000000001,0.200235,0.2018575,0.13684749999999998,96,7150.0,313.75369103,1014.0,1186.0,9692.0,90,221.5,10526.5,2530.0,19.146916544544514,72.87281806799439
29.51392513999997,0.15555747175993817,-0.24458586442965985,21952,0,0.0024137499999999923,0.023355,0.061305,0.040336250000000004,0.02448249999999999,0.033502500000000004,0.03117874999999999,224,7085.5,302.66392513999995,773.5,1204.5,9880.0,0,216.5,9535.0,2576.5,18.97147556955597,72.79143070325316
30.814481750000027,-0.1070027617020531,-0.06945245382897847,21952,0,0.03322749999999999,0.03781999999999999,0.055337499999999984,0.04520374999999999,0.039332500000000006,0.031728749999999986,0.02578875,128,7133.5,303.96448175,738.0,1190.5,9880.0,0,220.5,9695.0,2543.0,19.032381345819275,72.82754297767477
45.170165750000024,-0.04639397540940495,0.37361241508808746,21824,0,0.036995,0.05118499999999998,0.07532999999999998,0.085065,0.18653999999999998,0.16999875,0.12830875,177,7149.5,318.32016575,1349.0,1186.5,9699.0,133,221.5,10982.0,2530.5,19.2452820681556,72.86635019794873
34.56063167000002,-0.19564999336691938,0.6677227472537391,21824,0,0.022639999999999993,0.030092499999999994,0.054925,0.046015,0.2309525,0.15536875,0.08238374999999998,160,7530.0,307.71063167,1406.5,1026.0,9842.5,109,212.5,10085.5,2155.5,19.184376291892296,72.9030014615408
33.16949753,-0.4029535454226861,0.6311592767607029,21824,0,0.024936250000000007,0.02974874999999999,0.049094999999999986,0.04073499999999999,0.18014625,0.07666375,0.039635000000000004,128,7128.0,306.31949753,851.0,1192.5,9853.0,57,226.5,9861.5,2548.5,19.15823531712442,72.80059351915118
42.81002294000001,0.057502433171938046,0.41018349338059185,21824,0,0.03494625,0.043704999999999994,0.06743750000000001,0.08050000000000002,0.19246625,0.21595125,0.1573625,160,7257.5,315.96002294,1778.5,1142.5,9552.0,152,224.0,10790.5,2425.5,19.224261490507203,72.92563900670062
37.92396335000001,-0.288626911304619,0.5933311539718862,21824,0,0.048159999999999994,0.052395,0.06780875,0.060645000000000004,0.2376075,0.13116875,0.07040749999999998,96,7131.5,311.07396335,785.5,1191.0,9554.0,103,227.5,10201.5,2544.5,19.003006436028567,72.82350055889623
41.13348413,-0.06461650085811159,0.2411414814533664,21824,0,0.03504249999999999,0.051900000000000016,0.08051375000000002,0.08747125,0.1430625,0.12569625,0.09842999999999999,224,7175.5,314.28348413,2183.0,1178.5,9679.0,128,213.0,10684.0,2509.0,19.2204885663139,72.96768016199741
29.560068409999985,0.2334834144996785,-0.4672031679121161,21952,0,0.006291249999999998,0.024633749999999996,0.0660075,0.0430725,0.015641249999999995,0.025169999999999998,0.023904999999999996,224,7114.5,302.71006840999996,781.5,1196.5,9880.0,0,217.5,9564.5,2560.0,19.19785102115409,72.74992853712683
30.635035700000003,-0.05937921727395435,-0.25570522461256767,21952,0,0.02283249999999999,0.03513875000000001,0.060865,0.04800874999999999,0.028456250000000002,0.02526624999999999,0.02092124999999999,176,7143.5,303.7850357,859.5,1188.0,9880.0,0,216.0,9670.0,2529.5,18.983333331306348,72.93561030635435
29.462654840000027,0.26219314722456105,-0.2938879246218697,21952,0,0.0004750000000000032,0.017305,0.054237499999999994,0.026091249999999996,0.014238749999999994,0.024358749999999985,0.023451250000000007,224,7099.5,302.61265484,850.5,1200.0,9880.0,0,213.0,9500.5,2571.0,19.069302103996588,72.73402835659792
31.272496430000047,0.0016525945734806825,-0.18868961138852614,21952,0,0.02167749999999999,0.03674749999999999,0.07157624999999998,0.060851249999999996,0.041532499999999986,0.04167000000000001,0.03614250000000001,208,7157.0,304.42249643,1115.5,1184.5,9880.0,0,210.0,9715.0,2518.5,18.97740445043116,72.96525471073029
33.54377072,-0.15692500335405407,0.02403534050065705,21952,0,0.056726250000000006,0.06266625,0.08183375000000001,0.07704875,0.08084374999999999,0.05891249999999998,0.04277,112,7158.5,306.69377072,1134.0,1184.0,9714.0,112,219.5,9880.0,2517.5,18.96689416160696,72.97037510784976
48.43779287000001,0.10164625330750977,0.171369121190834,21824,0,0.06470124999999999,0.0771175,0.10135875,0.11648375,0.16466375,0.20192625,0.17895,113,7188.5,321.58779287,2559.0,1175.5,9629.0,82,201.5,11578.0,2498.0,19.175482970579512,73.01969261694794
29.387458400000014,0.37888081532509216,-0.35033230242811086,21952,0,-0.0003087500000000104,0.021237500000000006,0.05817,0.02565125,0.012341249999999998,0.027397500000000005,0.0249775,224,7098.0,302.5374584,811.0,1201.0,9880.0,0,213.0,9503.5,2572.5,19.00219795227286,72.73591481869457
